entry_time,entry_price,exit_time,exit_price,hold_seconds,quantity,profit_bps,cost_bps,net_profit_bps,pnl_amount,merge_count
2025-12-24 09:58:51,1.576,2025-12-24 10:00:51,1.577,120.0,139700.0,6.345177664973921,2.0,4.345177664973921,95.65259000001242,0.0
2025-12-24 10:18:48,1.576,2025-12-24 10:20:45,1.577,117.0,139700.0,6.345177664973921,2.0,4.345177664973921,95.65259000001242,0.0
2025-12-24 10:48:27,1.576,2025-12-24 10:51:57,1.579,210.0,139800.0,19.03553299492317,2.0,17.03553299492317,0.0,1.0
2025-12-24 10:56:27,1.576,2025-12-24 10:57:00,1.577,33.0,139900.0,6.345177664973921,2.0,4.345177664973921,95.7895299999509,0.0
2025-12-24 11:04:36,1.576,2025-12-24 11:06:36,1.577,120.0,140000.0,6.345177664973921,2.0,4.345177664973921,95.85800000000745,0.0
2025-12-24 14:50:54,1.572,2025-12-24 14:52:03,1.573,69.0,140400.0,6.361323155215584,2.0,4.361323155215584,96.24419999998645,0.0
2025-12-29 09:30:06,1.579,2025-12-29 09:35:03,1.585,297.0,139800.0,37.99873337555418,2.0,35.99873337555418,0.0,2.0
2025-12-29 09:38:15,1.584,2025-12-29 09:40:15,1.585,120.0,139700.0,6.313131313130618,2.0,4.313131313130618,95.42907000001287,0.0
2025-12-29 09:43:27,1.583,2025-12-29 09:51:12,1.587,465.0,139900.0,25.26847757422618,2.0,23.268477574226175,0.0,3.0
2025-12-29 10:03:12,1.58,2025-12-29 10:04:21,1.581,69.0,140400.0,6.329113924049936,2.0,4.329113924049936,96.01955999998609,0.0
2025-12-29 10:08:00,1.579,2025-12-29 10:09:15,1.58,75.0,140500.0,6.333122229259734,2.0,4.333122229259734,96.11605000001146,0.0
2025-12-29 10:14:57,1.581,2025-12-29 10:19:48,1.585,291.0,140400.0,25.300442757748282,2.0,23.300442757748282,0.0,2.0
2025-12-29 10:26:09,1.583,2025-12-29 10:28:09,1.584,120.0,140400.0,6.317119393557245,2.0,4.317119393557246,95.93532000001869,0.0
2025-12-29 10:29:12,1.584,2025-12-29 10:30:21,1.585,69.0,140400.0,6.313131313130618,2.0,4.313131313130618,95.90724000000046,0.0
2025-12-29 10:33:57,1.584,2025-12-29 10:35:54,1.585,117.0,140500.0,6.313131313130618,2.0,4.313131313130618,95.97555000003194,0.0
2025-12-29 13:02:30,1.574,2025-12-29 13:03:39,1.575,69.0,141400.0,6.353240152477063,2.0,4.353240152477063,96.87314000001061,0.0
2025-12-30 09:34:39,1.558,2025-12-30 09:37:24,1.561,165.0,142900.0,19.255455712451166,2.0,17.255455712451166,0.0,1.0
2025-12-30 09:42:15,1.558,2025-12-30 09:45:27,1.56,192.0,143100.0,12.836970474967918,2.0,10.836970474967917,0.0,1.0
2025-12-30 09:50:33,1.558,2025-12-30 09:54:12,1.56,219.0,143200.0,12.836970474967918,2.0,10.836970474967917,0.0,1.0
2025-12-30 09:57:45,1.561,2025-12-30 09:59:45,1.562,120.0,143000.0,6.406149903908469,2.0,4.406149903908469,98.34109999999055,0.0
2025-12-30 10:04:00,1.561,2025-12-30 10:04:57,1.562,57.0,143100.0,6.406149903908469,2.0,4.406149903908469,98.40987000000314,0.0
2025-12-30 10:08:57,1.561,2025-12-30 10:10:03,1.562,66.0,143200.0,6.406149903908469,2.0,4.406149903908469,98.47864000001573,0.0
